Serial No.,Stocks allowed for MIS,Margin allowed,,,Serial No.,Stocks which were allowed but temporarily banned,Reason
182,GULFOILLUB,5X,,,,,
183,HAL,5X,,,,,
184,HATHWAY,5X,,,,,
185,HATSUN,5X,,,,,
186,HAVELLS,5X,,,,,
187,HCLTECH,5X,,,,,
188,HDFC,5X,,,,,
189,HDFCAMC,5X,,,,,
190,HDFCBANK,5X,,,,,
191,HDFCLIFE,5X,,,,,
192,HEIDELBERG,5X,,,,,
193,HERITGFOOD,5X,,,,,
194,HEROMOTOCO,5X,,,,,
195,HESTERBIO,5X,,,,,
196,HINDALCO,5X,,,,,
197,HINDCOPPER,5X,,,,,
198,HINDPETRO,5X,,,,,
199,HINDUNILVR,5X,,,,,
200,HINDZINC,5X,,,,,
201,HONAUT,5X,,,,,
202,HSCL,5X,,,,,
203,HUDCO,5X,,,,,
204,HUHTAMAKI,5X,,,,,
205,IBULHSGFIN,5X,,,,,
206,ICICIBANK,5X,,,,,
207,ICICIGI,5X,,,,,
208,ICICIPRULI,5X,,,,,
209,IDBI,5X,,,,,
210,IDEA,3X,,,,,
211,IDFC,5X,,,,,
212,IDFCFIRSTB,5X,,,,,
213,IEX,5X,,,,,
214,IFBIND,5X,,,,,
215,IGL,5X,,,,,
216,IIFLWAM,5X,,,,,
217,INDHOTEL,5X,,,,,
218,INDIACEM,5X,,,,,
219,INDIAMART,5X,,,,,
220,INDIANB,5X,,,,,
221,INDIGO,5X,,,,,
222,INDOCO,5X,,,,,
223,INDOSTAR,5X,,,,,
224,INDUSINDBK,5X,,,,,
225,INDUSTOWER,3X,,,,,
226,INEOSSTYRO,5X,,,,,
227,INFIBEAM,5X,,,,,
228,INFY,5X,,,,,
229,INGERRAND,5X,,,,,
230,INOXLEISUR,5X,,,,,
231,IOB,5X,,,,,
232,IOC,5X,,,,,
233,IOLCP,5X,,,,,
234,IPCALAB,5X,,,,,
235,IRCON,5X,,,,,
236,IRCTC,5X,,,,,
237,ISEC,5X,,,,,
238,ITC,5X,,,,,
239,ITDC,5X,,,,,
240,ITI,5X,,,,,
241,J&KBANK,5X,,,,,
242,JAICORPLTD,5X,,,,,
243,JAMNAAUTO,5X,,,,,
244,JBCHEPHARM,5X,,,,,
245,JCHAC,5X,,,,,
246,JINDALPOLY,5X,,,,,
247,JINDALSAW,5X,,,,,
248,JINDALSTEL,5X,,,,,
249,JKCEMENT,5X,,,,,
250,JKLAKSHMI,5X,,,,,
251,JKPAPER,5X,,,,,
252,JKTYRE,5X,,,,,
253,JMFINANCIL,5X,,,,,
254,JSL,3X,,,,,
255,JSWSTEEL,5X,,,,,
256,JTEKTINDIA,5X,,,,,
257,JUBLFOOD,5X,,,,,
258,JUBLPHARMA,5X,,,,,
259,JUSTDIAL,5X,,,,,
260,JYOTHYLAB,5X,,,,,
261,KAJARIACER,5X,,,,,
262,KALPATPOWR,5X,,,,,
263,KANSAINER,5X,,,,,
264,KARURVYSYA,5X,,,,,
265,KEC,5X,,,,,
266,KEI,5X,,,,,
267,KENNAMET,5X,,,,,
268,KIOCL,5X,,,,,
269,KIRLOSENG,5X,,,,,
270,KNRCON,5X,,,,,
271,KOLTEPATIL,5X,,,,,
272,KOTAKBANK,5X,,,,,
273,KRBL,5X,,,,,
274,KSB,5X,,,,,
275,KSCL,5X,,,,,
276,KTKBANK,5X,,,,,
277,L&TFH,5X,,,,,
278,LALPATHLAB,5X,,,,,
279,LAOPALA,5X,,,,,
280,LAURUSLABS,5X,,,,,
281,LAXMIMACH,5X,,,,,
282,LEMONTREE,5X,,,,,
283,LICHSGFIN,5X,,,,,
284,LINDEINDIA,5X,,,,,
285,LT,5X,,,,,
286,LTI,5X,,,,,
287,LTTS,5X,,,,,
288,LUPIN,5X,,,,,
289,LUXIND,5X,,,,,
290,M&M,5X,,,,,
291,M&MFIN,5X,,,,,
292,MAHABANK,5X,,,,,
293,MAHINDCIE,5X,,,,,
294,MAHLOG,5X,,,,,
295,MAHSCOOTER,5X,,,,,
296,MAHSEAMLES,5X,,,,,
297,MAITHANALL,5X,,,,,
298,MANAPPURAM,5X,,,,,
299,MARICO,5X,,,,,
300,MARUTI,5X,,,,,
301,MASFIN,5X,,,,,
302,MAZDOCK,5X,,,,,
303,MCDOWELL-N,5X,,,,,
304,MCX,5X,,,,,
305,METROPOLIS,5X,,,,,
306,MFSL,5X,,,,,
307,MGL,5X,,,,,
308,MHRIL,5X,,,,,
309,MIDHANI,5X,,,,,
310,MINDACORP,5X,,,,,
311,MINDAIND,5X,,,,,
312,MINDTREE,5X,,,,,
313,MMTC,5X,,,,,
314,MOIL,5X,,,,,
315,MOTHERSUMI,5X,,,,,
316,MOTILALOFS,5X,,,,,
317,MPHASIS,5X,,,,,
318,MRF,5X,,,,,
319,MRPL,5X,,,,,
320,MUTHOOTFIN,5X,,,,,
321,NAM-INDIA,5X,,,,,
322,NATCOPHARM,5X,,,,,
323,NATIONALUM,5X,,,,,
324,NAUKRI,5X,,,,,
325,NAVINFLUOR,5X,,,,,
326,NAVNETEDUL,5X,,,,,
327,NBCC,5X,,,,,
328,NCC,5X,,,,,
329,NEOGEN,5X,,,,,
330,NESCO,5X,,,,,
331,NESTLEIND,5X,,,,,
332,NETWORK18,5X,,,,,
333,NFL,5X,,,,,
334,NH,5X,,,,,
